Symbol	Last Sale	Net Change	% Change	Market Cap	Volume					
A	$159.18 	0.44	0.28%	48072486866	764279					
AADI	$24.09 	-0.5	-2.03%	503337159	80363					
AAL	$18.54 	0.37	2.04%	12004919238	28221832					
AAN	$24.76 	-0.06	-0.24%	779525196	113626					
AAON	$79.35 	-0.46	-0.58%	4160164181	111108					
AAP	$238.13 	1.63	0.69%	14848638299	601197					
AAPL	$179.29 	-1.04	-0.58%	3.10841E+12	79034933					
AAT	$36.58 	-0.15	-0.41%	2212068138	110306					
AAWW	$93.02 	0.32	0.35%	2700211629	220075					
AB	$49.03 	0.26	0.53%	4841915876	142403					
ABBV	$134.39 	-0.02	-0.02%	2.37585E+11	4237183					
ABC	$132.36 	0.46	0.35%	27548531662	602175					
ABCB	$50.07 	0.32	0.64%	3486634013	168682					
ABG	$169.52 	2.03	1.21%	3921964542	118566					
ABM	$41.08 	-0.3	-0.73%	2765422577	357828					
ABMD	$357.44 	-0.39	-0.11%	16262622826	215339					
ABNB	$169.71 	-1.97	-1.15%	1.01215E+11	2293244					
ABR	$18.33 	0.08	0.44%	2758769261	1007282					
ABSI	$8.10 	-0.19	-2.29%	749990923	266913					
ABT	$140.47 	-0.99	-0.70%	2.48391E+11	3296006					
ABTX	$42.84 	0.18	0.42%	867402043	36463					
AC	$44.64 	-0.86	-1.89%	984673004	2363					
ACAD	$24.67 	0.35	1.44%	3965849805	1066582					
ACAH	$9.81 	0.01	0.10%	423056250	530602					
ACBI	$29.30 	0.43	1.49%	594928355	61233					
ACC	$56.89 	0.43	0.76%	7916623013	460331					
ACCD	$25.94 	-0.37	-1.41%	1729268985	725029					
ACCO	$8.20 	0.07	0.86%	784993077	374150					
ACEL	$13.10 	0.04	0.31%	1232280045	282634					
ACET	$15.44 	-0.07	-0.45%	302466944	181069					
ACHC	$60.05 	0.82	1.38%	5400633741	210428					
ACHR	$6.66 	0.01	0.15%	1580623088	1376556					
ACI	$29.83 	0.29	0.98%	13934335767	2193854					
ACIW	$34.78 	-0.21	-0.60%	4088961131	563477					
ACLS	$71.42 	-1.42	-1.95%	2379127542	308665					
ACM	$76.73 	0.34	0.45%	10911178182	280496					
ACMR	$78.52 	-0.78	-0.98%	1531755989	251730					
ACQR	$9.74 	0	0.00%	602962229	3879					
ACRE	$14.90 	-0.08	-0.53%	700327133	463465					
ACRS	$14.64 	-0.66	-4.31%	896368155	160096					
ACT	$20.20 	-0.02	-0.10%	3289374242	212633					
ACTD	$9.95 	0	0.00%	387009041	41499					
ACV	$31.73 	-0.11	-0.35%	328529882	31945					
ACVA	$18.91 	0.09	0.48%	2941924725	348081					
ADBE	$569.36 	-8.32	-1.44%	2.70901E+11	2107783					
ADC	$70.49 	0.66	0.95%	5024901572	375898					
ADER	$9.84 	-0.01	-0.10%	338250000	26839					
ADGI	$7.85 	-1.15	-12.78%	873325531	3444942					
ADI	$174.38 	-1.09	-0.62%	91607162583	1634785					
ADM	$66.93 	0.86	1.30%	37443403532	1049886					
ADP	$246.07 	-0.22	-0.09%	1.0369E+11	924434					
ADPT	$26.26 	-0.62	-2.31%	3706122223	478764					
ADS	$67.83 	-0.22	-0.32%	3376923943	837470					
ADSK	$282.77 	-1.53	-0.54%	62201883125	681762					
ADT	$8.56 	-0.1	-1.16%	7115676987	1070754					
ADTH	$6.98 	-1.98	-22.10%	626457331	211245					
ADTN	$22.67 	-0.24	-1.05%	1103575351	193489					
ADUS	$93.65 	-1.71	-1.79%	1491602040	49460					
ADV	$7.78 	-0.14	-1.77%	2478502343	414045					
ADX	$19.46 	-0.06	-0.31%	2160587775	170846					
AEE	$88.42 	0.87	0.99%	22777539408	780456					
AEF	$8.04 	0.04	0.50%	408044295	48092					
AEHR	$22.16 	-0.95	-4.11%	588504560	1591535					
AEIS	$90.41 	-0.17	-0.19%	3405711700	121077					
AEL	$38.82 	-0.35	-0.89%	3591374730	207319					
AEO	$24.35 	0.29	1.21%	4105937445	5831777					
AEP	$88.21 	1.13	1.30%	43786520794	1507549					
AERI	$7.28 	-0.03	-0.41%	344762738	1113317					
AES	$23.74 	0.07	0.30%	15827786300	1908727					
AFB	$15.03 	-0.01	-0.07%	432036388	46189					
AFCG	$22.82 	0.29	1.29%	375224970	182113					
AFG	$138.10 	0.53	0.39%	11711968504	132931					
AFIN	$8.94 	-0.05	-0.56%	1104147878	806390					
AFL	$58.49 	0.29	0.50%	38692785529	1735644					
AFRM	$101.77 	-3.96	-3.75%	28597933704	5344232					
AGCO	$116.25 	-0.82	-0.70%	8699472611	268858					
AGEN	$3.37 	-0.1	-2.88%	865521077	2899114					
AGGR	$9.72 	0	0.00%	376650000	7324					
AGIO	$34.20 	-0.51	-1.47%	1857349811	467443					
AGM	$123.75 	-0.2	-0.16%	1332327893	24974					
AGNC	$15.49 	0.02	0.13%	8130830837	5034852					
AGR	$49.35 	0.89	1.84%	19108544839	417711					
AGX	$38.48 	0.15	0.39%	604703388	44685					
AGYS	$43.76 	-0.84	-1.88%	1076987556	55841					
AHCO	$23.00 	-0.84	-3.52%	3040948795	1060980					
AHH	$15.09 	-0.24	-1.57%	928116969	213350					
AHT	$10.32 	-0.26	-2.46%	349388708	1052017					
AIG	$56.67 	-0.23	-0.40%	48822663346	2449523					
AIMC	$51.89 	0.04	0.08%	3368679341	169276					
AIN	$89.92 	0.51	0.57%	2911699520	250920					
AINV	$12.97 	0.02	0.15%	834679759	479633					
AIP	$20.64 	-1.35	-6.14%	645101033	79227					
AIR	$38.99 	0.29	0.75%	1382931280	181145					
AIRS	$15.46 	-0.27	-1.72%	860196781	195239					
AIT	$103.40 	-0.11	-0.11%	3976497745	57742					
